Users: 5950, Items: 3191
train 417,940 | val 43,664 | test 112,381
Epoch 68 | 14.6s | TrainLoss 0.1167 | ValLoss 0.2228 | P@10 0.0411 R@10 0.0935 NDCG@10 0.0699
Epoch 69 | 14.8s | TrainLoss 0.1156 | ValLoss 0.2230 | P@10 0.0412 R@10 0.0939 NDCG@10 0.0701
Epoch 70 | 15.2s | TrainLoss 0.1140 | ValLoss 0.2184 | P@10 0.0410 R@10 0.0938 NDCG@10 0.0699
Epoch 71 | 15.0s | TrainLoss 0.1149 | ValLoss 0.2231 | P@10 0.0409 R@10 0.0936 NDCG@10 0.0700
Epoch 72 | 15.0s | TrainLoss 0.1137 | ValLoss 0.2221 | P@10 0.0410 R@10 0.0943 NDCG@10 0.0704
Epoch 73 | 14.8s | TrainLoss 0.1140 | ValLoss 0.2173 | P@10 0.0411 R@10 0.0938 NDCG@10 0.0703
Epoch 74 | 14.8s | TrainLoss 0.1130 | ValLoss 0.2193 | P@10 0.0411 R@10 0.0948 NDCG@10 0.0705
Epoch 75 | 14.8s | TrainLoss 0.1127 | ValLoss 0.2246 | P@10 0.0411 R@10 0.0945 NDCG@10 0.0705
Epoch 76 | 14.9s | TrainLoss 0.1114 | ValLoss 0.2215 | P@10 0.0414 R@10 0.0962 NDCG@10 0.0709
Epoch 77 | 15.1s | TrainLoss 0.1111 | ValLoss 0.2217 | P@10 0.0417 R@10 0.0959 NDCG@10 0.0712
Epoch 78 | 15.2s | TrainLoss 0.1098 | ValLoss 0.2191 | P@10 0.0420 R@10 0.0975 NDCG@10 0.0717
Epoch 79 | 14.6s | TrainLoss 0.1100 | ValLoss 0.2239 | P@10 0.0418 R@10 0.0981 NDCG@10 0.0717
Epoch 80 | 14.5s | TrainLoss 0.1095 | ValLoss 0.2211 | P@10 0.0418 R@10 0.0978 NDCG@10 0.0717
Epoch 81 | 14.5s | TrainLoss 0.1083 | ValLoss 0.2188 | P@10 0.0419 R@10 0.0984 NDCG@10 0.0718
Epoch 82 | 14.6s | TrainLoss 0.1082 | ValLoss 0.2230 | P@10 0.0415 R@10 0.0979 NDCG@10 0.0717
Epoch 83 | 14.6s | TrainLoss 0.1076 | ValLoss 0.2206 | P@10 0.0419 R@10 0.0987 NDCG@10 0.0722
Epoch 84 | 14.7s | TrainLoss 0.1069 | ValLoss 0.2195 | P@10 0.0421 R@10 0.0993 NDCG@10 0.0726
Epoch 85 | 14.5s | TrainLoss 0.1065 | ValLoss 0.2196 | P@10 0.0419 R@10 0.0990 NDCG@10 0.0721
Epoch 86 | 14.6s | TrainLoss 0.1067 | ValLoss 0.2190 | P@10 0.0419 R@10 0.0994 NDCG@10 0.0726
Epoch 87 | 14.4s | TrainLoss 0.1058 | ValLoss 0.2178 | P@10 0.0421 R@10 0.0993 NDCG@10 0.0729
Epoch 88 | 14.6s | TrainLoss 0.1044 | ValLoss 0.2254 | P@10 0.0420 R@10 0.0999 NDCG@10 0.0730
Epoch 89 | 14.7s | TrainLoss 0.1042 | ValLoss 0.2178 | P@10 0.0420 R@10 0.1000 NDCG@10 0.0731
Epoch 90 | 14.8s | TrainLoss 0.1044 | ValLoss 0.2230 | P@10 0.0424 R@10 0.1004 NDCG@10 0.0731
Epoch 91 | 14.7s | TrainLoss 0.1045 | ValLoss 0.2198 | P@10 0.0424 R@10 0.1003 NDCG@10 0.0734
Epoch 92 | 15.2s | TrainLoss 0.1038 | ValLoss 0.2219 | P@10 0.0425 R@10 0.1011 NDCG@10 0.0736
Epoch 93 | 14.7s | TrainLoss 0.1035 | ValLoss 0.2207 | P@10 0.0423 R@10 0.1013 NDCG@10 0.0737
Epoch 94 | 15.0s | TrainLoss 0.1027 | ValLoss 0.2168 | P@10 0.0420 R@10 0.0996 NDCG@10 0.0729
Epoch 95 | 14.5s | TrainLoss 0.1027 | ValLoss 0.2188 | P@10 0.0420 R@10 0.1004 NDCG@10 0.0729
Epoch 96 | 14.9s | TrainLoss 0.1017 | ValLoss 0.2157 | P@10 0.0421 R@10 0.1003 NDCG@10 0.0732
Epoch 97 | 14.9s | TrainLoss 0.1007 | ValLoss 0.2197 | P@10 0.0423 R@10 0.1013 NDCG@10 0.0738
Epoch 98 | 15.0s | TrainLoss 0.1011 | ValLoss 0.2142 | P@10 0.0424 R@10 0.1026 NDCG@10 0.0741
Epoch 99 | 14.9s | TrainLoss 0.1006 | ValLoss 0.2176 | P@10 0.0423 R@10 0.1019 NDCG@10 0.0737
Epoch 100 | 14.9s | TrainLoss 0.1003 | ValLoss 0.2210 | P@10 0.0423 R@10 0.1024 NDCG@10 0.0739
Epoch 101 | 14.7s | TrainLoss 0.1004 | ValLoss 0.2206 | P@10 0.0423 R@10 0.1025 NDCG@10 0.0741
Epoch 102 | 15.0s | TrainLoss 0.0989 | ValLoss 0.2192 | P@10 0.0422 R@10 0.1020 NDCG@10 0.0736
Epoch 103 | 14.9s | TrainLoss 0.1001 | ValLoss 0.2173 | P@10 0.0421 R@10 0.1026 NDCG@10 0.0740
Epoch 104 | 14.9s | TrainLoss 0.0990 | ValLoss 0.2149 | P@10 0.0422 R@10 0.1022 NDCG@10 0.0739
Epoch 105 | 14.9s | TrainLoss 0.0980 | ValLoss 0.2177 | P@10 0.0423 R@10 0.1029 NDCG@10 0.0737
Epoch 106 | 14.6s | TrainLoss 0.0977 | ValLoss 0.2174 | P@10 0.0427 R@10 0.1036 NDCG@10 0.0743
Epoch 107 | 14.8s | TrainLoss 0.0982 | ValLoss 0.2179 | P@10 0.0424 R@10 0.1042 NDCG@10 0.0745
Epoch 108 | 14.7s | TrainLoss 0.0976 | ValLoss 0.2158 | P@10 0.0424 R@10 0.1044 NDCG@10 0.0745
Epoch 109 | 14.5s | TrainLoss 0.0977 | ValLoss 0.2186 | P@10 0.0425 R@10 0.1059 NDCG@10 0.0751
Epoch 110 | 14.6s | TrainLoss 0.0966 | ValLoss 0.2224 | P@10 0.0427 R@10 0.1057 NDCG@10 0.0753
Epoch 111 | 14.9s | TrainLoss 0.0959 | ValLoss 0.2175 | P@10 0.0423 R@10 0.1050 NDCG@10 0.0748
Epoch 112 | 14.8s | TrainLoss 0.0958 | ValLoss 0.2205 | P@10 0.0427 R@10 0.1058 NDCG@10 0.0752
Epoch 113 | 14.8s | TrainLoss 0.0949 | ValLoss 0.2199 | P@10 0.0428 R@10 0.1056 NDCG@10 0.0752
Epoch 114 | 14.3s | TrainLoss 0.0951 | ValLoss 0.2149 | P@10 0.0429 R@10 0.1061 NDCG@10 0.0755
Epoch 115 | 14.4s | TrainLoss 0.0951 | ValLoss 0.2196 | P@10 0.0430 R@10 0.1074 NDCG@10 0.0758
Epoch 116 | 14.3s | TrainLoss 0.0952 | ValLoss 0.2165 | P@10 0.0425 R@10 0.1054 NDCG@10 0.0749
Epoch 117 | 14.4s | TrainLoss 0.0945 | ValLoss 0.2197 | P@10 0.0426 R@10 0.1062 NDCG@10 0.0752
Epoch 118 | 14.3s | TrainLoss 0.0947 | ValLoss 0.2213 | P@10 0.0430 R@10 0.1065 NDCG@10 0.0753
Epoch 119 | 14.3s | TrainLoss 0.0943 | ValLoss 0.2193 | P@10 0.0429 R@10 0.1068 NDCG@10 0.0752
